iter	Passed	Remaining
219	192566	245084
220	193395	244150
221	194199	243186
222	194253	241291
223	195070	240354
224	195894	239426
225	196751	238539
226	197587	237627
227	198456	236754
228	199296	235848
229	200147	234955
230	200977	234038
231	201831	233150
232	202666	232240
233	203499	231328
234	204316	230399
235	205162	229504
236	205954	228548
237	206801	227655
238	207619	226730
239	208437	225807
240	209263	224893
241	210089	223979
242	210916	223068
243	211779	222195
244	212595	221272
245	213443	220384
246	214288	219493
247	215128	218598
248	215946	217680
249	216812	216812
250	217631	215897
251	218448	214981
252	219263	214063
253	219487	212574
254	220305	211665
255	221152	210786
256	221998	209904
257	222819	209000
258	223641	208098
259	224556	207282
260	225511	206502
261	226524	205774
262	227431	204947
263	228235	204028
264	229046	203116
265	229906	202248
266	230725	201345
267	231590	200481
268	232437	199602
269	233281	198721
270	234173	197880
271	235024	197006
272	235845	196106
273	236673	195212
274	237496	194315
275	238321	193419
276	239148	192527
277	239994	191649
278	240224	190285
279	241070	189412
280	241917	188540
281	242754	187660
282	243560	186758
283	244369	185858
284	245193	184970
285	246016	184082
286	246826	183184
287	247658	182304
288	248461	181402
289	249297	180525
290	250138	179652
291	250956	178763
292	251803	177895
293	252626	177010
294	253475	176143
295	254334	175284
296	255141	174389
297	255938	173488
298	256797	172629
299	257633	171755
300	258459	170875
301	259280	169991
302	260104	169110
303	260937	168235
304	261778	167366
305	262595	166482
306	263397	165588
307	263743	164411
308	264570	163537
309	265414	162673
310	266277	161821
311	267148	160974
312	267972	160098
313	268804	159228
314	269628	158353
315	270441	157472
316	271265	156598
317	272096	155727
318	272940	154866
319	273799	154012
320	274606	153129
321	275490	152289
322	276408	151468
323	277251	150605
324	278134	149764
325	279023	148926
326	279853	148057
327	280692	147192
328	281533	146328
329	282353	145454
330	283172	144580
331	283398	143406
332	284227	142540
333	285075	141684
334	285906	140819
335	286732	139952
336	287546	139080
337	288362	138209
338	289190	137344
339	290009	136474
340	290825	135605
341	291674	134750
342	292529	133898
343	293350	133031
344	294173	132164
345	294998	131299
346	295828	130437
347	296640	129567
348	297447	128694
349	298262	127826
350	299077	126958
351	299918	126102
352	300730	125233
353	301561	124372
354	302377	123506
355	303203	122644
356	304031	121782
357	304872	120927
358	305679	120057
359	306498	119193
360	307306	118325
361	308154	117473
362	308977	116611
363	309795	115747
364	310641	114894
365	311484	114040
366	312310	113180
367	313138	112321
368	313978	111466
369	314801	110606
370	315630	109747
371	316462	108890
372	317303	108036
373	318151	107184
374	318964	106321
375	319788	105462
376	320612	104602
377	321446	103747
378	321945	102784
379	322087	101711
380	322914	100857
381	323712	99995
382	324629	99168
383	325474	98320
384	326315	97470
385	327133	96614
386	327944	95756
387	328767	94901
388	329609	94052
389	330418	93194
390	331239	92340
391	332063	91486
392	332873	90629
393	333688	89774
394	334547	88930
395	335366	88076
396	336183	87221
397	337006	86368
